smiles,scaffold,r1_fragment,r2_fragment,is_biased,id,mw,logp,hbd,hba,tpsa,rotatable_bonds,ring_count,aromatic_rings,heavy_atoms,num_heteroatoms,pass_lipinski,pass_veber,pass_complexity,pass_aggregation,pass_pains,passes_all,qed,sa_score,sa_inv,binding_proxy,logp_dev,tpsa_score,norm_qed,norm_sa,norm_binding,norm_logp,norm_tpsa,composite_score,robustness_bonus,final_score,rank
CCNc1ccnc(-c2ccccc2S(N)(=O)=O)c1,phenylpyridine,S(=O)(=O)N,NCC,False,SMOL-0384,277.349,1.8278,2,4,85.07999999999998,4,2,2,19,6,True,True,True,True,True,True,0.8924,3.05,0.6953,0.4488,0.6722,1.0,0.8924,0.6953,0.4488,0.168,1.0,63.0,10.0,73.0,1
CCNc1ccccc1-c1cccc(S(N)(=O)=O)n1,other,S(=O)(=O)N,NCC,True,SMOL-0109,277.349,1.8277999999999996,2,4,85.08,4,2,2,19,6,True,True,True,True,True,True,0.8924,3.05,0.6953,0.4488,0.6722,1.0,0.8924,0.6953,0.4488,0.1681,1.0,63.0,10.0,73.0,2
CC(C)c1ccccc1-c1cc(S(N)(=O)=O)ccn1,phenylpyridine,C(C)C,S(=O)(=O)N,True,SMOL-0211,276.36099999999993,2.5194,1,3,73.05000000000001,3,2,2,19,5,True,True,True,True,True,True,0.9358,3.0,0.7,0.3325,0.0194,1.0,0.9358,0.7,0.3325,0.0049,1.0,62.32,10.0,72.32,3
CC(C)c1ccccc1-c1cccc(S(N)(=O)=O)n1,other,S(=O)(=O)N,C(C)C,True,SMOL-0074,276.361,2.5193999999999996,1,3,73.05000000000001,3,2,2,19,5,True,True,True,True,True,True,0.9358,3.0,0.7,0.3325,0.0194,1.0,0.9358,0.7,0.3325,0.0048,1.0,62.32,10.0,72.32,4
CC(C)Cc1ccccc1-c1cccc(S(N)(=O)=O)n1,other,S(=O)(=O)N,CC(C)C,False,SMOL-0358,290.38800000000003,2.5945,1,3,73.05000000000001,4,2,2,20,5,True,True,True,True,True,True,0.9402,3.0,0.7,0.3325,0.0945,1.0,0.9402,0.7,0.3325,0.0236,1.0,62.24,10.0,72.24,5
NC(=O)c1cccc(-c2cccc3c2C=NNN=N3)n1,other,C(=O)N,c1nn[nH]n1,True,SMOL-0301,266.264,1.7832999999999999,2,6,105.09,2,3,2,20,7,True,True,True,True,True,True,0.8648,3.65,0.635,0.4462,0.7167,1.0,0.8648,0.635,0.4462,0.1792,1.0,60.92,10.0,70.92,6
CCc1cccc(-c2ccccc2S(N)(=O)=O)n1,other,CC,S(=O)(=O)N,False,SMOL-0451,262.33399999999995,1.9583999999999993,1,3,73.05000000000001,3,2,2,18,5,True,True,True,True,True,True,0.9185,3.0,0.7,0.3325,0.5416,1.0,0.9185,0.7,0.3325,0.1354,1.0,60.58,10.0,70.58,7
CCc1ccccc1-c1cc(S(N)(=O)=O)ccn1,phenylpyridine,CC,S(=O)(=O)N,False,SMOL-0401,262.33399999999995,1.9584000000000001,1,3,73.05000000000001,3,2,2,18,5,True,True,True,True,True,True,0.9185,3.0,0.7,0.3325,0.5416,1.0,0.9185,0.7,0.3325,0.1354,1.0,60.58,10.0,70.58,8
NS(=O)(=O)c1ccccc1-c1cc(Cl)ccn1,phenylpyridine,S(=O)(=O)N,Cl,True,SMOL-0093,268.72499999999997,2.0494,1,3,73.05000000000001,2,2,2,17,6,True,True,True,True,True,True,0.9059,3.16,0.6841,0.3325,0.4506,1.0,0.9059,0.6841,0.3325,0.1127,1.0,60.18,10.0,70.18,9
CC(=O)Nc1cccc(-c2ccccc2C(=O)O)n1,other,NC(=O)C,C(=O)O,True,SMOL-0134,256.26099999999997,2.4052,2,3,79.29,3,2,2,19,5,True,True,True,True,True,True,0.8833,3.0,0.7,0.3063,0.0948,1.0,0.8833,0.7,0.3063,0.0237,1.0,60.03,10.0,70.03,10
CC(=O)Nc1ccccc1-c1cccc(C(=O)O)n1,other,C(=O)O,NC(=O)C,True,SMOL-0113,256.26099999999997,2.4052,2,3,79.29,3,2,2,19,5,True,True,True,True,True,True,0.8833,3.0,0.7,0.3063,0.0948,1.0,0.8833,0.7,0.3063,0.0237,1.0,60.03,10.0,70.03,11
CC(=O)Nc1ccccc1-c1cc(S(N)(=O)=O)ccn1,phenylpyridine,NC(=O)C,S(=O)(=O)N,True,SMOL-0099,291.33199999999994,1.3543999999999998,2,4,102.14999999999999,3,2,2,20,7,True,True,True,True,True,True,0.8907,3.15,0.685,0.3925,1.1456,1.0,0.8907,0.685,0.3925,0.2864,1.0,59.88,10.0,69.88,12
COc1cccc(-c2ccccc2S(N)(=O)=O)n1,other,OC,S(=O)(=O)N,True,SMOL-0247,264.306,1.4045999999999996,1,4,82.28,3,2,2,18,6,True,True,True,True,True,True,0.9081,3.1,0.69,0.3625,1.0954,1.0,0.9081,0.69,0.3625,0.2739,1.0,59.64,10.0,69.64,13
CNC(=O)c1ccccc1-c1cccc(S(N)(=O)=O)n1,other,S(=O)(=O)N,C(=O)NC,True,SMOL-0198,291.332,0.7556,2,4,102.14999999999999,3,2,2,20,7,True,True,True,True,True,True,0.8709,3.15,0.685,0.3925,1.7444,1.0,0.8709,0.685,0.3925,0.4361,1.0,57.89,10.0,67.89,14
